Year,Month,Consumption
2001,1,464
2001,2,675
2001,3,703
2001,4,887
2001,5,1139
2001,6,1077
2001,7,1318
2001,8,1260
2001,9,1120
2001,10,963
2001,11,996
2001,12,960
2002,1,530
2002,2,883
2002,3,894
2002,4,1045
2002,5,1199
2002,6,1287
2002,7,1565
2002,8,1577
2002,9,1076
2002,10,918
2002,11,1008
2002,12,1063
2003,1,544
2003,2,635
2003,3,804
2003,4,980
2003,5,1018
2003,6,1064
2003,7,1404
2003,8,1286
2003,9,1104
2003,10,999
2003,11,996
2003,12,1015
2004,1,615
2004,2,722
2004,3,832
2004,4,977
2004,5,1270
2004,6,1437
2004,7,1520
2004,8,1708
2004,9,1151
2004,10,934
2004,11,1159
2004,12,1209
2005,1,699
2005,2,830
2005,3,996
2005,4,1124
2005,5,1458
2005,6,1270
2005,7,1753
2005,8,2258
2005,9,1208
2005,10,1241
2005,11,1265
2005,12,1828
2006,1,809
2006,2,997
2006,3,1164
2006,4,1205
2006,5,1538
2006,6,1513
2006,7,1378
2006,8,2083
2006,9,1357
2006,10,1536
2006,11,1526
2006,12,1376
2007,1,779
2007,2,1005
2007,3,1193
2007,4,1522
2007,5,1539
2007,6,1546
2007,7,2116
2007,8,2326
2007,9,1596
2007,10,1356
2007,11,1553
2007,12,1613
2008,1,814
2008,2,1150
2008,3,1225
2008,4,1691
2008,5,1759
2008,6,1754
2008,7,2100
2008,8,2062
2008,9,2012
2008,10,1897
2008,11,1964
2008,12,2186
2009,1,966
2009,2,1549
2009,3,1538
2009,4,1612
2009,5,2078
2009,6,2137
2009,7,2907
2009,8,2249
2009,9,1883
2009,10,1739
2009,11,1828
2009,12,1868
2010,1,1138
2010,2,1430
2010,3,1809
2010,4,1763
2010,5,2200
2010,6,2067
2010,7,2503
2010,8,2141
2010,9,2103
2010,10,1972
2010,11,2181
2010,12,2344
2011,1,970
2011,2,1199
2011,3,1718
2011,4,1683
2011,5,2025
2011,6,2051
2011,7,2439
2011,8,2353
2011,9,2230
2011,10,1852
2011,11,2147
2011,12,2286
2012,1,1007
2012,2,1665
2012,3,1642
2012,4,1525
2012,5,1838
2012,6,1892
2012,7,2920
2012,8,2572
2012,9,2617
2012,10,2047